id;prioridade;categoria;nome_db;case_style;ativo;itens_coleta;coletas;plano_itens;planos;clientes_ativos;planos_nomes;acao_sugerida;problema;sugestao_csv
82;urgente;servico_nao_residuo;"LOCAÇÃO BANHEIRO CONTAINER";MAIUSCULO;1;0;0;0;0;0;;excluir;"Não é resíduo — é serviço de locação";"Desativar no catálogo ou excluir de tipos usados em coleta/MTR"
83;urgente;servico_nao_residuo;"LOCAÇÃO CONTAINER";MAIUSCULO;1;0;0;0;0;0;;excluir;"Não é resíduo — é serviço de locação";"Desativar no catálogo ou excluir de tipos usados em coleta/MTR"
84;urgente;servico_nao_residuo;"LOCAÇÃO CAÇAMBA 5M³";MAIUSCULO;1;0;0;0;0;0;;excluir;"Não é resíduo — é serviço de locação";"Desativar no catálogo ou excluir de tipos usados em coleta/MTR"
85;urgente;servico_nao_residuo;"LOCAÇÃO CAÇAMBA 27M³";MAIUSCULO;1;0;0;0;0;0;;excluir;"Não é resíduo — é serviço de locação";"Desativar no catálogo ou excluir de tipos usados em coleta/MTR"
66;urgente;servico_nao_residuo;"LOCAÇÃO DE BANHEIRO";MAIUSCULO;1;0;0;0;0;0;;excluir;"Serviço de locação; IBAMA inválido/inexistente no SINIR";"Desativar — não usar em manifesto"
58;urgente;servico_nao_residuo;"LIMPEZA DE BANHEIROS QUÍMICOS";MAIUSCULO;1;5;5;0;0;0;;revisar_uso_indevido;"Nome indica serviço de limpeza; IBAMA genérico de limpeza urbana";"Confirmar se é resíduo coletado ou serviço — se serviço, desativar"
43;urgente;registro_teste;teste;minusculo;1;5;5;0;0;0;;revisar_uso_indevido;"Registro de teste no catálogo produtivo";Desativar
73;urgente;tecnologia;"EMBALAGENS AGROTOXICOS E AFINS (agroquímicos) ";Title/misto;1;0;0;0;0;0;;desativar_ou_excluir;"Tecnologia=Reciclagem (43) inaceitável para agrotóxico";"tra=73 (Incineração) ou tra=25 (Autoclave); cla=1 OK"
39;alta;ibama;"Filtros Papel";Title/misto;1;21;21;3;3;55;"C I - Postos | C I - ZANETTI  | RETÍFICA";corrigir_campos;"Código IBAMA não existe na lista SINIR";"cod_ibama=15.02.02 (*) se contaminado; ou 15.02.03 se não perigoso"
81;baixa;revisar;"EMBALAGEM CONTAMINADA ";MAIUSCULO;1;0;0;0;0;0;;desativar_ou_excluir;"Possível duplicata de #47 com IBAMA errado";"Unificar ou corrigir IBAMA (ver também linha alta ibama #81)"
33;alta;ibama;"PILHAS E BATERIAS";MAIUSCULO;1;126;126;1;1;4;"Plano 3 - C II B";corrigir_campos;"IBAMA aponta para medicamentos, não pilhas";"cod_ibama=20.01.33 (*) ou 16.06.01 (*) conforme tipo; tra=73; cla=1"
69;media;acondicionamento;"ÓLEO USADO";MAIUSCULO;1;29;26;0;0;0;;corrigir_campos;"Granel inadequado para óleo";"tia=9 (Tambor) ou tia=11 (Tanque) — após corrigir IBAMA"
29;alta;ibama;"Resíduo Equipamentos Eletrônicos ";Title/misto;1;149;148;5;5;18;"C I - Eletrônico | CII + Elet | Plano 3 - C II B | Plano C II B + Elet | RESÍDUOS ELETRÔNICOS";corrigir_campos;"IBAMA muito específico (CFC); inadequado para REE genérico";"cod_ibama=20.01.35 (*) REE ou 16.02.14 equip. fora de uso; tra=43 ou 28 (desmontagem)"
70;alta;ibama;SACARIAS;MAIUSCULO;1;45;44;0;0;0;;corrigir_campos;"Sacaria pode ser plástica ou de papel — IBAMA genérico";"Confirmar material: 16.01.19 (plástico) ou 19.12.01 (papel)"
16;alta;classe_rss;"RESÍDUO SÓLIDO DO SERVIÇO DE SAÚDE";MAIUSCULO;1;1150;1142;0;0;0;;corrigir_campos;"Classe SINIR genérica (1=Classe I); descrição indica Grupo A1 RSS";"cla=21 (Grupo A1 RSS); manter tra=73 ou tra=25"
17;alta;classe_rss;"MATERIAIS PERFUROCORTANTES OU ESCARIFICANTES";MAIUSCULO;1;693;690;3;3;94;"RSSS  | RSSS - Vacinas | RSSS Clínica Silvestre";corrigir_campos;"Classe genérica Classe I; descrição indica Grupo E RSS";"cla=35 (Grupo E RSS); tra=73 ou tra=25 (Autoclave)"
18;alta;classe_rss;"MEDICAMENTO VENCIDOS";MAIUSCULO;1;212;212;3;3;94;"RSSS  | RSSS - Vacinas | RSSS Clínica Silvestre";corrigir_campos;"Classe genérica Classe I; descrição indica Grupo B RSS";"cla=32 (Grupo B RSS); tra=73"
49;alta;classe_rss;"Carcaças, peças anatômicas, vísceras e outros resí";Title/misto;1;87;87;0;0;0;;corrigir_campos;"Classe genérica Classe I; descrição indica Grupo A4 RSS";"cla=24 (Grupo A4 RSS); tra=73"
74;alta;classe_rcc;"RESÍDUOS DE CONSTRUCAO CIVIL";MAIUSCULO;1;2;2;0;0;0;;corrigir_campos;"Classe II A (43) e Reciclagem inadequados para RCC";"cla=11 (Classe A RCC); tra=51 (Aterro Reservação RCC)"
54;alta;tecnologia;"RESÍDUOS BIODEGRADÁVEIS DE COZINHA E CANTINAS";MAIUSCULO;1;125;125;0;0;0;;corrigir_campos;"Reciclagem inadequada para orgânicos";"tra=50 (Compostagem) ou tra=27 (Biodigestão)"
80;alta;tecnologia;"LODOS DE FOSSAS SÉPTICAS";MAIUSCULO;1;0;0;0;0;0;;desativar_ou_excluir;"Reciclagem inadequada para lodo";"tra=17 (Aterro II A/IIB) ou tratamento de lodo — confirmar destinador"
79;alta;tecnologia;"LODOS DE TRATAMENTO DE EFLUENTEURBANOS";MAIUSCULO;1;2;2;0;0;0;;corrigir_campos;"Reciclagem inadequada para lodo";"tra=17 (Aterro II) ou coprocessamento — confirmar destinador"
