id;nome;cod_ibama_atual;cod_ibama_novo;ibama_descricao;tra_codigo;tie_codigo;tia_codigo;cla_codigo;uni_codigo;status;notes
56;"ÁGUA COM ÓLEO proveniente dos separadores óleo/águ";13.05.07;13.05.07;"Água com óleo proveniente dos separadores óleo/água";73;2;8;1;2;ok;
28;BORRACHA;19.12.11;19.12.11;Borrachas;43;4;8;43;2;ok;
49;"Carcaças, peças anatômicas, vísceras e outros resí";18.01.13;18.01.13;"Carcaças, peças anatômicas, vísceras e outros resíduos provenientes de animais não submetidos a processos de experimentação com inoculação de micro-organismos, bem como suas forrações (Grupo A4 conforme ANVISA RDC 222/2018)";73;4;8;1;2;ok;
41;"COBRE SUJO";17.04.01;17.04.01;"Cobre, bronze e latão (Classe B conforme Resolução CONAMA 307/02)";43;4;8;43;2;ok;
76;"DRENAGEM DE EFLUENTES";13.05.07;13.05.07;"Água com óleo proveniente dos separadores óleo/água";73;4;8;1;2;ok;
81;"EMBALAGEM CONTAMINADA ";06.03.13;06.03.13;"Sais no estado sólido e em soluções contendo metais pesados";73;4;8;1;2;ok;
47;"Embalagem contaminados por resíduos perigosos";15.01.10;15.01.10;"Embalagens de qualquer um dos tipos acima descritos contendo ou contaminadas por resíduos de substâncias perigosas";73;4;8;1;2;ok;
73;"EMBALAGENS AGROTOXICOS E AFINS (agroquímicos) ";02.01.09;02.01.09;"Resíduos agrotóxicos e afins (agroquímicos) não abrangidos em 02 01 08 (*)";43;4;8;1;2;ok;
71;"EMBALAGENS DE PLASTICO";15.01.02;15.01.02;"Embalagens de plástico";43;4;8;43;2;ok;
67;"EQUIPAMENTOS FORA DE USO";16.02.14;16.02.14;"Equipamento fora de uso não abrangidos em 16 02 09 (*) a 16 02 13 (*)";43;4;8;43;2;ok;
35;"ESTOPAS CONTAMINADOS POR ÓLEO";15.02.03;15.02.03;"Absorventes, materiais filtrantes, panos de limpeza e vestuário de proteção não abrangidos em 15 02 02 (*)";43;2;8;1;2;ok;
60;FERRO;16.01.17;16.01.17;"Sucatas metálicas ferrosas";43;4;8;43;2;ok;
38;"FILTROS CONTAMINADO POR ÓLEO";15.02.02;15.02.02;"Absorventes, materiais filtrantes (incluindo filtros de óleo não anteriormente especificados), panos de limpeza e vestuário de proteção, contaminados por substâncias perigosas";73;2;8;1;2;ok;
39;"Filtros Papel";15.02.00;15.02.00;;43;4;8;43;2;ok;"cod_ibama não encontrado na lista SINIR"
32;"Lâmpadas Fluorescentes G (maior que 1.20mt)";20.01.21;20.01.21;"Lâmpadas fluorescentes, de vapor de sódio e mercúrio e de luz mista";73;4;8;1;2;ok;
31;"Lâmpadas Fluorescentes M (até 1.20mt)";20.01.21;20.01.21;"Lâmpadas fluorescentes, de vapor de sódio e mercúrio e de luz mista";73;4;8;1;2;ok;
30;"Lâmpadas Fluorescentes P ";20.01.21;20.01.21;"Lâmpadas fluorescentes, de vapor de sódio e mercúrio e de luz mista";73;4;8;1;2;ok;
58;"LIMPEZA DE BANHEIROS QUÍMICOS";20.02.01;20.02.01;"Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis";43;4;8;43;2;ok;
